Station Code,Station Name,Latitude,Longitude,Data Center(s)
R0000,Raspberry Shake Citizen Science Station,64.9286,-18.3575,RASPISHAKE
R0019,Raspberry Shake Citizen Science Station,55.0349,-2.1478,RASPISHAKE
R0050,Raspberry Shake Citizen Science Station,18.3924,-66.1592,RASPISHAKE
R006A,Raspberry Shake Citizen Science Station,38.5484,-121.7451,RASPISHAKE
R006C,Raspberry Shake Citizen Science Station,38.0548,-97.3188,RASPISHAKE
R0087,Raspberry Shake Citizen Science Station,61.2181,-149.9006,RASPISHAKE
R009F,Raspberry Shake Citizen Science Station,35.2106,-97.4405,RASPISHAKE
R00A4,Raspberry Shake Citizen Science Station,51.0398,5.856,RASPISHAKE
R00B5,Raspberry Shake Citizen Science Station,45.0019,-123.0162,RASPISHAKE
R00B9,Raspberry Shake Citizen Science Station,-43.5301,172.6105,RASPISHAKE
R00C9,Raspberry Shake Citizen Science Station,8.7824,-82.639,RASPISHAKE
R00D1,Raspberry Shake Citizen Science Station,43.0357,-83.3631,RASPISHAKE
R00DB,Raspberry Shake Citizen Science Station,9.9377,-84.1824,RASPISHAKE
R00DC,Raspberry Shake Citizen Science Station,44.5376,-123.3051,RASPISHAKE
R00F5,Raspberry Shake Citizen Science Station,33.7964,-116.976,RASPISHAKE
R0104,Raspberry Shake Citizen Science Station,37.4315,-122.1109,RASPISHAKE
R0108,Raspberry Shake Citizen Science Station,58.0781,7.808,RASPISHAKE
R0121,Raspberry Shake Citizen Science Station,61.588,-149.4589,RASPISHAKE
R0122,Raspberry Shake Citizen Science Station,-38.1206,176.2348,RASPISHAKE
R0124,Raspberry Shake Citizen Science Station,36.1357,-95.981,RASPISHAKE
R0128,Raspberry Shake Citizen Science Station,32.7601,-117.0563,RASPISHAKE
R013B,Raspberry Shake Citizen Science Station,52.6515,-0.6377,RASPISHAKE
R0145,Raspberry Shake Citizen Science Station,-6.6568,-43.5587,RASPISHAKE
R016A,Raspberry Shake Citizen Science Station,-15.765,-47.8726,RASPISHAKE
R0172,Raspberry Shake Citizen Science Station,30.1825,-95.5868,RASPISHAKE
R0174,Raspberry Shake Citizen Science Station,52.6737,-0.7291,RASPISHAKE
R0176,Raspberry Shake Citizen Science Station,57.3856,10.3547,RASPISHAKE
R0177,Raspberry Shake Citizen Science Station,35.1484,-85.0651,RASPISHAKE
R01A1,Raspberry Shake Citizen Science Station,44.5383,-123.4077,RASPISHAKE
R01C0,Raspberry Shake Citizen Science Station,49.4755,5.5446,RASPISHAKE
R01CF,Raspberry Shake Citizen Science Station,39.8685,-105.1846,RASPISHAKE
R01D9,Raspberry Shake Citizen Science Station,8.7824,-82.6396,RASPISHAKE
R01DE,Raspberry Shake Citizen Science Station,53.1653,8.6507,RASPISHAKE
R01EA,Raspberry Shake Citizen Science Station,51.5785,-0.1021,RASPISHAKE
R01F1,Raspberry Shake Citizen Science Station,33.918,-117.9228,RASPISHAKE
R01F3,Raspberry Shake Citizen Science Station,48.303,7.494,RASPISHAKE
R01F7,Raspberry Shake Citizen Science Station,52.4025,-113.1983,RASPISHAKE
R01F9,Raspberry Shake Citizen Science Station,26.4942,-16.2211,RASPISHAKE
R0220,Raspberry Shake Citizen Science Station,47.6337,7.4695,RASPISHAKE
R0229,Raspberry Shake Citizen Science Station,61.5986,-149.1315,RASPISHAKE
R023E,Raspberry Shake Citizen Science Station,28.2422,83.4222,RASPISHAKE
R0241,Raspberry Shake Citizen Science Station,8.7824,-82.639,RASPISHAKE
R026F,Raspberry Shake Citizen Science Station,-26.0552,28.1025,RASPISHAKE
R027B,Raspberry Shake Citizen Science Station,19.6451,-155.0626,RASPISHAKE
R028A,Raspberry Shake Citizen Science Station,-17.6981,-149.5836,RASPISHAKE
R02B7,Raspberry Shake Citizen Science Station,37.3409,-121.9423,RASPISHAKE
R02CF,Raspberry Shake Citizen Science Station,44.3476,26.0282,RASPISHAKE
R02DC,Raspberry Shake Citizen Science Station,61.1992,-149.9575,RASPISHAKE
R02DD,Raspberry Shake Citizen Science Station,35.0245,-97.3719,RASPISHAKE
R02EE,Raspberry Shake Citizen Science Station,44.075,28.6324,RASPISHAKE
R02F8,Raspberry Shake Citizen Science Station,37.4442,-122.1243,RASPISHAKE
R0306,Raspberry Shake Citizen Science Station,36.4222,127.3937,RASPISHAKE
R0318,Raspberry Shake Citizen Science Station,43.6949,7.3032,RASPISHAKE
R0320,Raspberry Shake Citizen Science Station,47.6586,7.4564,RASPISHAKE
R032A,Raspberry Shake Citizen Science Station,28.5087,-82.5412,RASPISHAKE
R0333,Raspberry Shake Citizen Science Station,50.114,7.9021,RASPISHAKE
