Station Code,Station Name,Latitude,Longitude,Data Center(s)
R034B,Raspberry Shake Citizen Science Station,42.0855,-73.9479,RASPISHAKE
R034F,Raspberry Shake Citizen Science Station,51.4048,-0.2484,RASPISHAKE
R0352,Raspberry Shake Citizen Science Station,42.6116,-71.4245,RASPISHAKE
R0353,Raspberry Shake Citizen Science Station,50.2679,-5.029,RASPISHAKE
R0380,Raspberry Shake Citizen Science Station,-35.3697,149.0823,RASPISHAKE
R038C,Raspberry Shake Citizen Science Station,52.5581,13.1889,RASPISHAKE
R038D,Raspberry Shake Citizen Science Station,28.3775,83.0534,RASPISHAKE
R0390,Raspberry Shake Citizen Science Station,33.0708,-96.3625,RASPISHAKE
R03B3,Raspberry Shake Citizen Science Station,33.7216,-111.8989,RASPISHAKE
R03B4,Raspberry Shake Citizen Science Station,52.9281,-2.5852,RASPISHAKE
R03B7,Raspberry Shake Citizen Science Station,19.4245,-99.1678,RASPISHAKE
R03C7,Raspberry Shake Citizen Science Station,20.5969,-100.4045,RASPISHAKE
R03D1,Raspberry Shake Citizen Science Station,47.6259,-122.3564,RASPISHAKE
R03D7,Raspberry Shake Citizen Science Station,29.8887,-97.9412,RASPISHAKE
R03EA,Raspberry Shake Citizen Science Station,47.3483,8.5949,RASPISHAKE
R040A,Raspberry Shake Citizen Science Station,48.2489,16.356,RASPISHAKE
R0428,Raspberry Shake Citizen Science Station,39.7389,-105.1834,RASPISHAKE
R043F,Raspberry Shake Citizen Science Station,43.6677,-79.4335,RASPISHAKE
R0445,Raspberry Shake Citizen Science Station,35.9905,-86.7561,RASPISHAKE
R0457,Raspberry Shake Citizen Science Station,-0.1839,-78.4467,RASPISHAKE
R045C,Raspberry Shake Citizen Science Station,37.5246,-122.2705,RASPISHAKE
R0461,Raspberry Shake Citizen Science Station,36.3673,-95.9007,RASPISHAKE
R0468,Raspberry Shake Citizen Science Station,14.0842,-87.162,RASPISHAKE
R0473,Raspberry Shake Citizen Science Station,51.7578,-2.4753,RASPISHAKE
R0480,Raspberry Shake Citizen Science Station,-43.9158,171.7475,RASPISHAKE
R0499,Raspberry Shake Citizen Science Station,47.9549,-122.0771,RASPISHAKE
R04A7,Raspberry Shake Citizen Science Station,53.3579,-6.4406,RASPISHAKE
R04C9,Raspberry Shake Citizen Science Station,33.7865,-118.3716,RASPISHAKE
R04CD,Raspberry Shake Citizen Science Station,20.7024,-105.2245,RASPISHAKE
R04D2,Raspberry Shake Citizen Science Station,37.4071,-122.0902,RASPISHAKE
R04DB,Raspberry Shake Citizen Science Station,49.2607,-123.1493,RASPISHAKE
R04E8,Raspberry Shake Citizen Science Station,37.4132,-121.7814,RASPISHAKE
R04F3,Raspberry Shake Citizen Science Station,57.7687,12.2653,RASPISHAKE
R050E,Raspberry Shake Citizen Science Station,45.9808,7.6707,RASPISHAKE
R052F,Raspberry Shake Citizen Science Station,37.764,-122.4489,RASPISHAKE
R0538,Raspberry Shake Citizen Science Station,39.5563,-87.2957,RASPISHAKE
R0554,Raspberry Shake Citizen Science Station,-33.9303,18.5136,RASPISHAKE
R0575,Raspberry Shake Citizen Science Station,41.7252,-112.159,RASPISHAKE
R0589,Raspberry Shake Citizen Science Station,51.3898,1.4265,RASPISHAKE
R0596,Raspberry Shake Citizen Science Station,51.4119,-2.5066,RASPISHAKE
R05A5,Raspberry Shake Citizen Science Station,44.9172,25.46,RASPISHAKE
R05EA,Raspberry Shake Citizen Science Station,44.4311,26.0916,RASPISHAKE
R0603,Raspberry Shake Citizen Science Station,13.734,100.5163,RASPISHAKE
R0617,Raspberry Shake Citizen Science Station,42.947,-78.7938,RASPISHAKE
R0627,Raspberry Shake Citizen Science Station,45.7839,3.0677,RASPISHAKE
R0664,Raspberry Shake Citizen Science Station,52.6764,-0.7264,RASPISHAKE
R0667,Raspberry Shake Citizen Science Station,39.1239,-77.2456,RASPISHAKE
R066F,Raspberry Shake Citizen Science Station,38.156,-85.8631,RASPISHAKE
R0693,Raspberry Shake Citizen Science Station,14.1378,120.8552,RASPISHAKE
R0695,Raspberry Shake Citizen Science Station,55.68,12.58,RASPISHAKE
R069F,Raspberry Shake Citizen Science Station,-18.5796,30.3391,RASPISHAKE
R06AC,Raspberry Shake Citizen Science Station,44.8841,-68.6749,RASPISHAKE
R06C4,Raspberry Shake Citizen Science Station,48.1468,12.2994,RASPISHAKE
R06CD,Raspberry Shake Citizen Science Station,-17.568,-149.574,RASPISHAKE
R06CE,Raspberry Shake Citizen Science Station,46.3003,7.9051,RASPISHAKE
R070D,Raspberry Shake Citizen Science Station,36.5813,-121.9083,RASPISHAKE
R0738,Raspberry Shake Citizen Science Station,33.8303,-117.8794,RASPISHAKE
R073F,Raspberry Shake Citizen Science Station,19.315,-99.175,RASPISHAKE
R074B,Raspberry Shake Citizen Science Station,19.4245,-99.1678,RASPISHAKE
R076D,Raspberry Shake Citizen Science Station,34.0768,134.5602,RASPISHAKE
R0786,Raspberry Shake Citizen Science Station,-4.2434,152.1899,RASPISHAKE
R0788,Raspberry Shake Citizen Science Station,-41.314,174.7614,RASPISHAKE
R07EB,Raspberry Shake Citizen Science Station,38.8827,-77.2854,RASPISHAKE
R0808,Raspberry Shake Citizen Science Station,33.7337,-117.4296,RASPISHAKE
R0825,Raspberry Shake Citizen Science Station,47.3836,-122.1927,RASPISHAKE
R0835,Raspberry Shake Citizen Science Station,40.9477,-74.1537,RASPISHAKE
R0868,Raspberry Shake Citizen Science Station,44.4346,-122.7029,RASPISHAKE
R0887,Raspberry Shake Citizen Science Station,51.61,-0.3398,RASPISHAKE
R08A3,Raspberry Shake Citizen Science Station,45.337,-122.7232,RASPISHAKE
R08A9,Raspberry Shake Citizen Science Station,-20.0064,30.0423,RASPISHAKE
R08CF,Raspberry Shake Citizen Science Station,58.2126,-6.3718,RASPISHAKE
R08DA,Raspberry Shake Citizen Science Station,8.7833,-82.4133,RASPISHAKE
R091F,Raspberry Shake Citizen Science Station,51.4471,-0.3398,RASPISHAKE
R0920,Raspberry Shake Citizen Science Station,27.6535,85.3024,RASPISHAKE
R092F,Raspberry Shake Citizen Science Station,52.6678,-1.097,RASPISHAKE
R0934,Raspberry Shake Citizen Science Station,-35.284,149.1149,RASPISHAKE
R0968,Raspberry Shake Citizen Science Station,52.7994,-2.3716,RASPISHAKE
R099E,Raspberry Shake Citizen Science Station,6.3163,-75.5563,RASPISHAKE
R09BD,Raspberry Shake Citizen Science Station,52.1815,0.1179,RASPISHAKE
R09C3,Raspberry Shake Citizen Science Station,40.3989,-3.7035,RASPISHAKE
R09DA,Raspberry Shake Citizen Science Station,44.9253,-90.4852,RASPISHAKE
R09DE,Raspberry Shake Citizen Science Station,-41.2974,174.723,RASPISHAKE
R09EE,Raspberry Shake Citizen Science Station,34.0919,-84.5028,RASPISHAKE
R09EF,Raspberry Shake Citizen Science Station,47.6949,-122.1903,RASPISHAKE
R09F7,Raspberry Shake Citizen Science Station,35.2288,-90.7828,RASPISHAKE
R0A2D,Raspberry Shake Citizen Science Station,47.9042,1.8941,RASPISHAKE
R0A3C,Raspberry Shake Citizen Science Station,45.3254,-75.897,RASPISHAKE
R0A45,Raspberry Shake Citizen Science Station,41.4598,2.0903,RASPISHAKE
R0A52,Raspberry Shake Citizen Science Station,40.8295,74.1142,RASPISHAKE
R0A7D,Raspberry Shake Citizen Science Station,-12.0844,-77.0473,RASPISHAKE
R0A81,Raspberry Shake Citizen Science Station,31.0403,121.4401,RASPISHAKE
R0A90,Raspberry Shake Citizen Science Station,47.7427,-122.053,RASPISHAKE
R0A9F,Raspberry Shake Citizen Science Station,58.2086,8.7042,RASPISHAKE
R0AC9,Raspberry Shake Citizen Science Station,50.1736,8.6337,RASPISHAKE
R0ACB,Raspberry Shake Citizen Science Station,53.0532,-0.7855,RASPISHAKE
R0AE4,Raspberry Shake Citizen Science Station,40.9477,-74.1537,RASPISHAKE
R0AE9,Raspberry Shake Citizen Science Station,45.7839,3.0677,RASPISHAKE
R0AEB,Raspberry Shake Citizen Science Station,47.3364,-1.5224,RASPISHAKE
R0AEF,Raspberry Shake Citizen Science Station,51.649,-0.2298,RASPISHAKE
R0B08,Raspberry Shake Citizen Science Station,9,38.8,RASPISHAKE
R0B0A,Raspberry Shake Citizen Science Station,37.9617,-122.0075,RASPISHAKE
R0B0B,Raspberry Shake Citizen Science Station,-24.301,30.0457,RASPISHAKE
R0B17,Raspberry Shake Citizen Science Station,53.3084,6.5749,RASPISHAKE
R0B21,Raspberry Shake Citizen Science Station,42.7894,-71.2845,RASPISHAKE
R0B29,Raspberry Shake Citizen Science Station,47.7995,-3.7093,RASPISHAKE
R0B2D,Raspberry Shake Citizen Science Station,50.1499,-5.095,RASPISHAKE
R0B5A,Raspberry Shake Citizen Science Station,34.4427,-119.6818,RASPISHAKE
R0B81,Raspberry Shake Citizen Science Station,45.8484,13.9616,RASPISHAKE
R0BBA,Raspberry Shake Citizen Science Station,-38.6789,176.0672,RASPISHAKE
R0BD5,Raspberry Shake Citizen Science Station,28.1812,83.0129,RASPISHAKE
R0BEB,Raspberry Shake Citizen Science Station,48.0747,-2.2093,RASPISHAKE
R0BEF,Raspberry Shake Citizen Science Station,35.2024,136.8853,RASPISHAKE
R0C1F,Raspberry Shake Citizen Science Station,59.2388,18.1085,RASPISHAKE
R0C26,Raspberry Shake Citizen Science Station,39.2525,-77.3466,RASPISHAKE
R0C34,Raspberry Shake Citizen Science Station,38.7114,-9.2136,RASPISHAKE
R0C36,Raspberry Shake Citizen Science Station,37.8904,-122.3061,RASPISHAKE
R0C46,Raspberry Shake Citizen Science Station,37.9668,23.7849,RASPISHAKE
R0C73,Raspberry Shake Citizen Science Station,46.6886,7.6857,RASPISHAKE
R0C77,Raspberry Shake Citizen Science Station,47.6743,-117.3921,RASPISHAKE
R0C80,Raspberry Shake Citizen Science Station,40.8281,-73.9443,RASPISHAKE
R0C83,Raspberry Shake Citizen Science Station,8.2336,-81.9069,RASPISHAKE
R0C87,Raspberry Shake Citizen Science Station,36.592,-121.8842,RASPISHAKE
R0CA8,Raspberry Shake Citizen Science Station,42.8744,0.0139,RASPISHAKE
R0CBB,Raspberry Shake Citizen Science Station,33.9209,-117.3328,RASPISHAKE
R0CC0,Raspberry Shake Citizen Science Station,36.0526,-95.9389,RASPISHAKE
R0CC5,Raspberry Shake Citizen Science Station,47.7579,7.5109,RASPISHAKE
R0CDE,Raspberry Shake Citizen Science Station,48.7997,9.5997,RASPISHAKE
R0CE3,Raspberry Shake Citizen Science Station,37.7974,-122.4042,RASPISHAKE
R0CE4,Raspberry Shake Citizen Science Station,13.3594,123.7307,RASPISHAKE
R0CEA,Raspberry Shake Citizen Science Station,27.4,84.3,RASPISHAKE
R0CF5,Raspberry Shake Citizen Science Station,43.3458,-0.3218,RASPISHAKE
R0D06,Raspberry Shake Citizen Science Station,43.3613,-5.9165,RASPISHAKE
R0D1A,Raspberry Shake Citizen Science Station,38.905,-77.023,RASPISHAKE
R0D8D,Raspberry Shake Citizen Science Station,8.782,-82.639,RASPISHAKE
R0D9C,Raspberry Shake Citizen Science Station,42.7162,-84.2306,RASPISHAKE
R0DB7,Raspberry Shake Citizen Science Station,53.1653,8.6508,RASPISHAKE
R0DD8,Raspberry Shake Citizen Science Station,-41.3168,174.8253,RASPISHAKE
R0DDB,Raspberry Shake Citizen Science Station,24.973,121.549,RASPISHAKE
R0DEB,Raspberry Shake Citizen Science Station,59.6931,5.3687,RASPISHAKE
R0DF2,Raspberry Shake Citizen Science Station,51.9582,-1.233,RASPISHAKE
R0E05,Raspberry Shake Citizen Science Station,8.8568,-82.6024,RASPISHAKE
R0E54,Raspberry Shake Citizen Science Station,38.9142,-78.1406,RASPISHAKE
R0EBA,Raspberry Shake Citizen Science Station,19.6737,-98.9796,RASPISHAKE
R0ECF,Raspberry Shake Citizen Science Station,39.208,-76.6606,RASPISHAKE
R0EF4,Raspberry Shake Citizen Science Station,-17.7293,-149.2988,RASPISHAKE
R0EF8,Raspberry Shake Citizen Science Station,42.3276,-71.1479,RASPISHAKE
R0F05,Raspberry Shake Citizen Science Station,52.412,13.0191,RASPISHAKE
R0F08,Raspberry Shake Citizen Science Station,50.7259,-127.4939,RASPISHAKE
R0F09,Raspberry Shake Citizen Science Station,46.8724,-71.2752,RASPISHAKE
R0F1A,Raspberry Shake Citizen Science Station,29.5978,-95.576,RASPISHAKE
R0F21,Raspberry Shake Citizen Science Station,-35.3697,149.0823,RASPISHAKE
R0F23,Raspberry Shake Citizen Science Station,28.0482,84.0749,RASPISHAKE
R0F40,Raspberry Shake Citizen Science Station,33.9467,-83.3804,RASPISHAKE
R0F46,Raspberry Shake Citizen Science Station,39.382,-107.099,RASPISHAKE
R0F60,Raspberry Shake Citizen Science Station,35.9309,-98.4259,RASPISHAKE
R0F67,Raspberry Shake Citizen Science Station,50.3217,-119.1765,RASPISHAKE
R0F73,Raspberry Shake Citizen Science Station,47.94,-116.7426,RASPISHAKE
R0F76,Raspberry Shake Citizen Science Station,33.6539,-117.7678,RASPISHAKE
R0F8A,Raspberry Shake Citizen Science Station,-12.2426,-76.918,RASPISHAKE
R0FA5,Raspberry Shake Citizen Science Station,43.3885,-0.6148,RASPISHAKE
R0FA6,Raspberry Shake Citizen Science Station,33.1229,-117.1973,RASPISHAKE
R0FB0,Raspberry Shake Citizen Science Station,19.4,-99.1283,RASPISHAKE
R0FC4,Raspberry Shake Citizen Science Station,46.2718,13.9142,RASPISHAKE
R0FCE,Raspberry Shake Citizen Science Station,52.4048,9.8211,RASPISHAKE
R0FDB,Raspberry Shake Citizen Science Station,38.815,-123.027,RASPISHAKE
R0FE8,Raspberry Shake Citizen Science Station,48.437,-123.3898,RASPISHAKE
R0FF0,Raspberry Shake Citizen Science Station,54.3564,-8.5502,RASPISHAKE
R0FFA,Raspberry Shake Citizen Science Station,-42.9233,147.2612,RASPISHAKE
R1009,Raspberry Shake Citizen Science Station,-41.1737,174.8281,RASPISHAKE
R1033,Raspberry Shake Citizen Science Station,51.6708,5.6094,RASPISHAKE
R103B,Raspberry Shake Citizen Science Station,37.8034,-122.4075,RASPISHAKE
R1049,Raspberry Shake Citizen Science Station,37.806,15.0675,RASPISHAKE
R104C,Raspberry Shake Citizen Science Station,39.2774,-77.5346,RASPISHAKE
R1055,Raspberry Shake Citizen Science Station,50.0348,8.2429,RASPISHAKE
R1058,Raspberry Shake Citizen Science Station,49.6413,-124.0617,RASPISHAKE
R1075,Raspberry Shake Citizen Science Station,41.1531,-8.6175,RASPISHAKE
R1077,Raspberry Shake Citizen Science Station,14.4788,120.8989,RASPISHAKE
R107D,Raspberry Shake Citizen Science Station,53.6426,10.0365,RASPISHAKE
R10A1,Raspberry Shake Citizen Science Station,48.147,12.2995,RASPISHAKE
R10A9,Raspberry Shake Citizen Science Station,40.4356,-79.9909,RASPISHAKE
R10BA,Raspberry Shake Citizen Science Station,51.4836,-0.0209,RASPISHAKE
R10DB,Raspberry Shake Citizen Science Station,48.2305,16.3604,RASPISHAKE
R10DC,Raspberry Shake Citizen Science Station,42.2778,-83.7356,RASPISHAKE
R10F5,Raspberry Shake Citizen Science Station,37.76,-122.4975,RASPISHAKE
R10F9,Raspberry Shake Citizen Science Station,12.1426,-86.2769,RASPISHAKE
R10FB,Raspberry Shake Citizen Science Station,44.8015,22.9722,RASPISHAKE
R10FF,Raspberry Shake Citizen Science Station,47.0892,-122.8056,RASPISHAKE
R1104,Raspberry Shake Citizen Science Station,48.2901,6.9344,RASPISHAKE
R1108,Raspberry Shake Citizen Science Station,-33.4248,-70.6062,RASPISHAKE
R1109,Raspberry Shake Citizen Science Station,39.2019,-77.1956,RASPISHAKE
R1122,Raspberry Shake Citizen Science Station,43.7072,7.2924,RASPISHAKE
R1132,Raspberry Shake Citizen Science Station,37.4032,-122.1973,RASPISHAKE
R1148,Raspberry Shake Citizen Science Station,31.213,-103.318,RASPISHAKE
R1168,Raspberry Shake Citizen Science Station,14.5606,121.1083,RASPISHAKE
R1186,Raspberry Shake Citizen Science Station,39.597,-119.2794,RASPISHAKE
R118B,Raspberry Shake Citizen Science Station,51.4441,-2.5795,RASPISHAKE
R11AD,Raspberry Shake Citizen Science Station,36.0047,-80.1286,RASPISHAKE
R11C3,Raspberry Shake Citizen Science Station,42.4265,-71.1635,RASPISHAKE
R11C8,Raspberry Shake Citizen Science Station,19.3999,-99.1283,RASPISHAKE
R11D5,Raspberry Shake Citizen Science Station,42.4813,-71.2504,RASPISHAKE
R11F5,Raspberry Shake Citizen Science Station,55.68,12.58,RASPISHAKE
R1245,Raspberry Shake Citizen Science Station,43.6059,5.8442,RASPISHAKE
R1270,Raspberry Shake Citizen Science Station,34.5306,-117.1211,RASPISHAKE
R1294,Raspberry Shake Citizen Science Station,29.7483,-95.4157,RASPISHAKE
R12C1,Raspberry Shake Citizen Science Station,42.312,-83.7847,RASPISHAKE
R12D6,Raspberry Shake Citizen Science Station,64.0926,-21.8505,RASPISHAKE
R12E0,Raspberry Shake Citizen Science Station,48.643,1.826,RASPISHAKE
R12EB,Raspberry Shake Citizen Science Station,43.2641,-2.9375,RASPISHAKE
R12EC,Raspberry Shake Citizen Science Station,-35.3697,149.0823,RASPISHAKE
R1309,Raspberry Shake Citizen Science Station,20.7037,-105.2242,RASPISHAKE
R1355,Raspberry Shake Citizen Science Station,37.9787,-121.3133,RASPISHAKE
R1382,Raspberry Shake Citizen Science Station,7.0088,125.0918,RASPISHAKE
R1388,Raspberry Shake Citizen Science Station,39.6615,20.8507,RASPISHAKE
R1396,Raspberry Shake Citizen Science Station,41.4882,2.2658,RASPISHAKE
R13BB,Raspberry Shake Citizen Science Station,42.2961,-72.2193,RASPISHAKE
R13D2,Raspberry Shake Citizen Science Station,19.2724,-81.3061,RASPISHAKE
R13E1,Raspberry Shake Citizen Science Station,-31.9811,116.0551,RASPISHAKE
R13E3,Raspberry Shake Citizen Science Station,45.547,-122.5712,RASPISHAKE
R13FF,Raspberry Shake Citizen Science Station,44.4241,26.0361,RASPISHAKE
R1409,Raspberry Shake Citizen Science Station,18.2146,-67.1392,RASPISHAKE
R1420,Raspberry Shake Citizen Science Station,47.9208,106.9542,RASPISHAKE
R142A,Raspberry Shake Citizen Science Station,18.4408,-66.0597,RASPISHAKE
R1446,Raspberry Shake Citizen Science Station,59.4401,17.9785,RASPISHAKE
R14A6,Raspberry Shake Citizen Science Station,-24,-95.5721,RASPISHAKE
R14BA,Raspberry Shake Citizen Science Station,42.0015,12.3839,RASPISHAKE
R14EB,Raspberry Shake Citizen Science Station,60.3937,5.3157,RASPISHAKE
R14ED,Raspberry Shake Citizen Science Station,19.4,-99.1283,RASPISHAKE
R150A,Raspberry Shake Citizen Science Station,65.5597,22.1661,RASPISHAKE
R150F,Raspberry Shake Citizen Science Station,38.914,-78.1401,RASPISHAKE
R1516,Raspberry Shake Citizen Science Station,46.8727,-71.2749,RASPISHAKE
R151C,Raspberry Shake Citizen Science Station,30.0188,-95.4152,RASPISHAKE
R151E,Raspberry Shake Citizen Science Station,35.5711,139.4133,RASPISHAKE
R1529,Raspberry Shake Citizen Science Station,60.1266,-149.4378,RASPISHAKE
R155B,Raspberry Shake Citizen Science Station,43.4306,-1.4326,RASPISHAKE
R156D,Raspberry Shake Citizen Science Station,-33.795,150.7414,RASPISHAKE
R1581,Raspberry Shake Citizen Science Station,44.0467,7.2069,RASPISHAKE
R158C,Raspberry Shake Citizen Science Station,53.2093,6.6827,RASPISHAKE
R15B1,Raspberry Shake Citizen Science Station,-6.3141,106.6666,RASPISHAKE
R15E2,Raspberry Shake Citizen Science Station,9.9739,-84.2394,RASPISHAKE
R15EA,Raspberry Shake Citizen Science Station,8.4666,-82.2377,RASPISHAKE
R15EB,Raspberry Shake Citizen Science Station,46.2257,7.3351,RASPISHAKE
R15FD,Raspberry Shake Citizen Science Station,1.3465,103.6794,RASPISHAKE
R1607,Raspberry Shake Citizen Science Station,8.7821,-82.6386,RASPISHAKE
R160F,Raspberry Shake Citizen Science Station,20.0317,-155.6958,RASPISHAKE
R1613,Raspberry Shake Citizen Science Station,38.9082,-77.1465,RASPISHAKE
R161C,Raspberry Shake Citizen Science Station,25.1102,121.5286,RASPISHAKE
R161E,Raspberry Shake Citizen Science Station,13.5426,144.9028,RASPISHAKE
R1646,Raspberry Shake Citizen Science Station,6.2435,-75.6154,RASPISHAKE
R1650,Raspberry Shake Citizen Science Station,44.9256,-93.4846,RASPISHAKE
R167F,Raspberry Shake Citizen Science Station,43.0803,-72.0212,RASPISHAKE
R168B,Raspberry Shake Citizen Science Station,33.7896,-118.3654,RASPISHAKE
R1699,Raspberry Shake Citizen Science Station,41.9974,21.4186,RASPISHAKE
R16A4,Raspberry Shake Citizen Science Station,59.2388,18.1085,RASPISHAKE
R16B3,Raspberry Shake Citizen Science Station,41.6567,13.105,RASPISHAKE
R16CA,Raspberry Shake Citizen Science Station,48.6775,7.6626,RASPISHAKE
R16D8,Raspberry Shake Citizen Science Station,43.6114,7.0539,RASPISHAKE
R16DA,Raspberry Shake Citizen Science Station,48.4884,-123.3279,RASPISHAKE
R16F7,Raspberry Shake Citizen Science Station,38.087,-122.1521,RASPISHAKE
R16FA,Raspberry Shake Citizen Science Station,26.1505,50.5286,RASPISHAKE
R171D,Raspberry Shake Citizen Science Station,44.0402,-123.0586,RASPISHAKE
R1724,Raspberry Shake Citizen Science Station,4.6633,-74.0566,RASPISHAKE
R173E,Raspberry Shake Citizen Science Station,-6.2179,106.8366,RASPISHAKE
R1743,Raspberry Shake Citizen Science Station,37.7459,-122.4642,RASPISHAKE
R176D,Raspberry Shake Citizen Science Station,38.9223,-77.6633,RASPISHAKE
R1784,Raspberry Shake Citizen Science Station,44.35,26.0311,RASPISHAKE
R1793,Raspberry Shake Citizen Science Station,53.8249,-0.3746,RASPISHAKE
R179D,Raspberry Shake Citizen Science Station,40.8119,-77.9422,RASPISHAKE
R17B2,Raspberry Shake Citizen Science Station,49.0262,12.0659,RASPISHAKE
R17B9,Raspberry Shake Citizen Science Station,51.4461,7.2636,RASPISHAKE
R17DF,Raspberry Shake Citizen Science Station,52.2016,0.4377,RASPISHAKE
R17E1,Raspberry Shake Citizen Science Station,40.5457,-84.5092,RASPISHAKE
R17F9,Raspberry Shake Citizen Science Station,-15.7632,-47.8733,RASPISHAKE
R17FC,Raspberry Shake Citizen Science Station,25.8908,-80.3636,RASPISHAKE
R17FF,Raspberry Shake Citizen Science Station,9.3458,-82.2061,RASPISHAKE
R1822,Raspberry Shake Citizen Science Station,35.5235,24.0521,RASPISHAKE
R1845,Raspberry Shake Citizen Science Station,48.9909,1.7193,RASPISHAKE
R185E,Raspberry Shake Citizen Science Station,52.4732,-1.9068,RASPISHAKE
R1869,Raspberry Shake Citizen Science Station,48.6231,7.7858,RASPISHAKE
R187C,Raspberry Shake Citizen Science Station,52.3347,12.9852,RASPISHAKE
R1885,Raspberry Shake Citizen Science Station,42.7117,-70.9853,RASPISHAKE
R1897,Raspberry Shake Citizen Science Station,35.2213,-97.4003,RASPISHAKE
R18CE,Raspberry Shake Citizen Science Station,32.46,-84.9953,RASPISHAKE
